SalePrice,Area,Price/m2,Width,Length,Location
2950.0,92.5,32.07,5.0,18.5,quan cam le
5300.0,164.0,32.32,7.0,18.5,quan thanh khe
1250.0,61.0,20.49,5.0,12.0,quan lien chieu
3700.0,80.0,46.25,4.0,20.0,quan lien chieu
1900.0,51.0,37.25,5.0,10.8,quan thanh khe
6900.0,140.0,49.29,7.25,20.0,quan ngu hanh son
6100.0,102.0,59.8,6.0,17.0,quan ngu hanh son
9500.0,120.0,79.17,5.0,24.0,quan thanh khe
1220.0,185.0,6.59,8.0,23.0,huyen hoa vang
1050.0,250.0,4.2,5.0,50.0,huyen hoa vang
1580.0,100.0,15.8,5.0,20.0,quan ngu hanh son
1000.0,232.0,4.31,10.0,25.0,huyen hoa vang
2150.0,100.0,21.5,3.6,19.1,quan ngu hanh son
1460.0,102.0,14.31,5.0,21.0,quan cam le
2350.0,100.0,23.5,5.0,21.0,quan ngu hanh son
795.0,100.0,7.95,5.0,20.0,huyen hoa vang
2100.0,100.0,21.0,5.0,20.0,quan ngu hanh son
3650.0,132.0,27.65,6.0,22.0,quan lien chieu
3500.0,105.0,33.33,5.0,21.0,quan ngu hanh son
425.0,170.0,2.5,6.0,28.0,huyen hoa vang
2300.0,100.0,23.0,5.0,20.0,quan lien chieu
420.0,100.0,4.2,5.0,20.0,huyen hoa vang
2950.0,100.0,29.5,5.0,20.0,quan cam le
2850.0,93.0,30.65,5.0,18.6,quan ngu hanh son
3270.0,100.0,32.7,5.0,20.0,quan cam le
2380.0,90.0,26.44,5.0,19.0,quan cam le
5100.0,150.0,34.0,7.5,20.0,quan ngu hanh son
3500.0,90.0,38.89,5.0,18.0,quan lien chieu
3450.0,100.0,34.5,5.0,20.0,quan cam le
2350.0,50.0,47.0,6.3,8.0,quan son tra
1670.0,100.0,16.7,5.0,17.0,quan ngu hanh son
1800.0,93.0,19.35,6.0,17.0,quan ngu hanh son
1800.0,93.0,19.35,6.0,17.0,quan ngu hanh son
10700.0,124.0,86.29,5.0,25.0,quan son tra
3600.0,111.0,32.43,6.0,25.0,quan ngu hanh son
3750.0,124.0,30.24,4.0,27.0,quan cam le
3850.0,100.0,38.5,4.0,27.0,quan ngu hanh son
3800.0,115.0,33.04,5.0,23.0,quan ngu hanh son
5300.0,101.0,52.48,5.0,20.0,quan ngu hanh son
5300.0,101.0,52.48,5.0,20.0,quan ngu hanh son
2060.0,102.0,20.2,5.0,20.2,quan lien chieu
10300.0,228.0,45.18,12.5,18.3,quan son tra
1050.0,250.0,4.2,5.0,50.0,huyen hoa vang
1200.0,85.0,14.12,5.0,17.0,quan ngu hanh son
1400.0,100.0,14.0,5.0,20.0,quan ngu hanh son
1600.0,225.0,7.11,6.0,35.0,huyen hoa vang
1150.0,100.0,11.5,5.0,20.0,huyen hoa vang
970.0,81.0,11.975308641975309,4.5,18.0,quan ngu hanh son
3300.0,63.0,52.38,4.5,18.0,quan thanh khe
5100.0,123.0,41.46,5.0,24.0,quan cam le
1900.0,180.0,10.56,6.0,30.0,huyen hoa vang
3690.0,100.0,36.9,5.0,20.0,quan cam le
660.0,168.0,3.93,5.3,29.0,huyen hoa vang
2350.0,76.0,30.92,7.0,10.9,quan hai chau
2000.0,100.0,20.0,5.0,20.0,quan cam le
300.0,90.0,3.33,5.0,17.0,quan ngu hanh son
3300.0,112.0,29.46,5.0,25.0,quan lien chieu
2250.0,105.0,21.43,5.0,21.0,quan lien chieu
1350.0,213.0,6.34,5.0,42.0,huyen hoa vang
4200.0,115.0,36.52,4.0,27.0,quan ngu hanh son
2620.0,105.0,24.95,5.0,21.0,quan lien chieu
3050.0,100.0,30.5,5.0,20.0,quan cam le
486.0,172.0,2.825,7.0,20.0,huyen hoa vang
3000.0,100.0,30.0,5.0,20.0,quan ngu hanh son
1670.0,85.0,19.647058823529413,5.0,17.0,quan ngu hanh son
618.0,125.0,4.94,5.0,22.0,huyen hoa vang
3300.0,120.0,27.5,5.0,22.0,quan cam le
1350.0,107.0,12.616822429906541,7.2,22.0,quan hai chau
1600.0,100.0,16.0,5.0,20.0,huyen hoa vang
780.0,150.0,5.2,5.0,30.0,huyen hoa vang
1400.0,85.0,16.47,5.0,17.0,quan ngu hanh son
3800.0,108.0,35.19,6.0,18.0,quan ngu hanh son
5100.0,100.0,51.0,5.0,20.0,quan cam le
750.0,100.0,7.5,5.0,20.0,huyen hoa vang
1590.0,88.0,18.07,4.0,22.0,quan ngu hanh son
5200.0,87.0,59.77,5.0,17.4,quan hai chau
2000.0,60.0,33.33,4.0,15.0,quan lien chieu
2100.0,60.0,35.0,4.4,13.5,quan lien chieu
2500.0,100.0,25.0,5.0,20.0,quan lien chieu
5000.0,119.0,42.02,5.0,24.0,quan ngu hanh son
850.0,230.0,3.7,7.0,33.0,huyen hoa vang
2550.0,100.0,25.5,5.0,20.0,quan cam le
1281.0,85.0,15.07,5.0,17.0,quan ngu hanh son
2850.0,100.0,28.5,5.0,20.0,quan ngu hanh son
1300.0,240.0,5.42,6.0,39.0,huyen hoa vang
1650.0,290.0,5.69,10.0,29.0,huyen hoa vang
2200.0,150.0,14.67,6.0,23.0,quan cam le
1550.0,60.0,25.83,6.0,10.0,quan hai chau
293.0,125.0,23.44,5.0,25.0,quan cam le
4100.0,100.0,41.0,5.0,20.0,quan cam le
1700.0,100.0,17.0,5.0,20.0,quan ngu hanh son
2750.0,125.0,22.0,5.0,25.0,quan cam le
1440.0,100.0,14.4,5.0,20.0,huyen hoa vang
1000.0,100.0,10.0,4.0,25.0,huyen hoa vang
1130.0,86.4,13.14,5.0,18.0,quan ngu hanh son
1500.0,90.0,16.67,5.0,18.0,huyen hoa vang
648.0,122.0,5.31,6.0,20.0,huyen hoa vang
3750.0,124.0,30.24,4.6,20.0,quan cam le
3550.0,80.0,44.38,5.0,16.0,quan lien chieu
1900.0,105.0,18.1,5.0,21.0,quan ngu hanh son
2600.0,100.0,26.0,5.0,20.0,quan ngu hanh son
3800.0,110.0,34.55,5.0,22.0,quan cam le
490.0,120.0,4.08,5.0,23.0,huyen hoa vang
2200.0,100.0,22.0,5.0,20.0,quan ngu hanh son
490.0,120.0,4.08,5.0,24.0,huyen hoa vang
2200.0,100.0,22.0,5.0,20.0,quan ngu hanh son
1160.0,91.2,12.75,6.2,14.709677419354838,quan ngu hanh son
1450.0,70.0,20.71,4.0,20.0,quan lien chieu
4190.0,122.0,34.34,5.0,24.0,quan cam le
295.0,100.0,29.5,5.0,20.0,quan ngu hanh son
3600.0,90.0,40.0,6.0,15.0,quan ngu hanh son
550.0,181.0,3.04,5.0,36.0,huyen hoa vang
3030.0,100.0,30.3,5.0,20.0,quan cam le
2200.0,148.0,14.86,6.0,18.0,huyen hoa vang
1950.0,100.0,19.5,5.0,20.0,quan lien chieu
1700.0,40.0,42.5,3.5,11.0,quan son tra
2250.0,92.0,24.46,5.0,18.4,quan lien chieu
1200.0,106.0,11.320754716981131,5.0,21.2,quan son tra
3500.0,90.0,38.89,5.0,18.0,quan lien chieu
190.0,100.0,19.0,5.0,18.0,quan ngu hanh son
3850.0,95.0,40.53,5.0,19.0,quan ngu hanh son
